DayOfWeek,DayOfWeekNbr,StartDate,ed_visits,ed_visits_known_to_PARIS_MH
Sunday,7,03/06/2018,46,13
Monday,1,04/06/2018,52,14
Tuesday,2,05/06/2018,47,15
Wednesday,3,06/06/2018,48,17
Thursday,4,07/06/2018,66,32
Friday,5,08/06/2018,44,16
Saturday,6,09/06/2018,43,19
Sunday,7,10/06/2018,43,12
Monday,1,11/06/2018,50,18
Tuesday,2,12/06/2018,47,13
Wednesday,3,13/06/2018,46,14
Thursday,4,14/06/2018,49,17
Friday,5,15/06/2018,58,20
Saturday,6,16/06/2018,48,21
Sunday,7,17/06/2018,59,26
Monday,1,18/06/2018,59,24
Tuesday,2,19/06/2018,57,19
Wednesday,3,20/06/2018,63,24
Thursday,4,21/06/2018,48,19
Friday,5,22/06/2018,65,30
Saturday,6,23/06/2018,38,7
Sunday,7,24/06/2018,43,10
Monday,1,25/06/2018,54,19
Tuesday,2,26/06/2018,50,25
Wednesday,3,27/06/2018,49,15
Thursday,4,28/06/2018,47,12
Friday,5,29/06/2018,52,11
Saturday,6,30/06/2018,45,16
Sunday,7,01/07/2018,42,15
Monday,1,02/07/2018,50,17
Tuesday,2,03/07/2018,51,18
Wednesday,3,04/07/2018,57,16
Thursday,4,05/07/2018,55,13
Friday,5,06/07/2018,55,13
Saturday,6,07/07/2018,67,18
Sunday,7,08/07/2018,59,20
Monday,1,09/07/2018,59,22
Tuesday,2,10/07/2018,59,23
Wednesday,3,11/07/2018,55,26
Thursday,4,12/07/2018,52,16
Friday,5,13/07/2018,50,15
Saturday,6,14/07/2018,47,20
Sunday,7,15/07/2018,56,16
Monday,1,16/07/2018,76,25
Tuesday,2,17/07/2018,58,20
Wednesday,3,18/07/2018,58,16
Thursday,4,19/07/2018,72,19
Friday,5,20/07/2018,41,14
Saturday,6,21/07/2018,55,12
Sunday,7,22/07/2018,57,22
Monday,1,23/07/2018,53,21
Tuesday,2,24/07/2018,52,14
Wednesday,3,25/07/2018,48,14
Thursday,4,26/07/2018,50,17
Friday,5,27/07/2018,49,18
Saturday,6,28/07/2018,55,18
Sunday,7,29/07/2018,60,19
Monday,1,30/07/2018,56,14
Tuesday,2,31/07/2018,59,19
Wednesday,3,01/08/2018,56,17
Thursday,4,02/08/2018,39,14
Friday,5,03/08/2018,58,20
Saturday,6,04/08/2018,50,18
Sunday,7,05/08/2018,51,14
Monday,1,06/08/2018,55,23
Tuesday,2,07/08/2018,58,21
Wednesday,3,08/08/2018,59,24
Thursday,4,09/08/2018,43,11
Friday,5,10/08/2018,47,16
Saturday,6,11/08/2018,51,11
Sunday,7,12/08/2018,49,13
Monday,1,13/08/2018,55,16
Tuesday,2,14/08/2018,40,6
Wednesday,3,15/08/2018,42,12
Thursday,4,16/08/2018,47,17
Friday,5,17/08/2018,57,15
Saturday,6,18/08/2018,49,15
Sunday,7,19/08/2018,52,11
Monday,1,20/08/2018,39,11
Tuesday,2,21/08/2018,50,16
Wednesday,3,22/08/2018,50,14
Thursday,4,23/08/2018,45,19
Friday,5,24/08/2018,38,18
Saturday,6,25/08/2018,48,21
Sunday,7,26/08/2018,46,17
Monday,1,27/08/2018,51,15
Tuesday,2,28/08/2018,57,21
Wednesday,3,29/08/2018,46,18
Thursday,4,30/08/2018,48,20
Friday,5,31/08/2018,50,25
Saturday,6,01/09/2018,52,13
Sunday,7,02/09/2018,51,15
Monday,1,03/09/2018,47,15
Tuesday,2,04/09/2018,46,16
Wednesday,3,05/09/2018,33,8
Thursday,4,06/09/2018,35,12
Friday,5,07/09/2018,51,22
Saturday,6,08/09/2018,48,15
Sunday,7,09/09/2018,48,16
Monday,1,10/09/2018,42,11
Tuesday,2,11/09/2018,46,14
Wednesday,3,12/09/2018,36,14
Thursday,4,13/09/2018,42,16
Friday,5,14/09/2018,42,13
Saturday,6,15/09/2018,50,17
Sunday,7,16/09/2018,51,14
Monday,1,17/09/2018,46,14
Tuesday,2,18/09/2018,52,19
Wednesday,3,19/09/2018,48,23
Thursday,4,20/09/2018,39,17
Friday,5,21/09/2018,42,10
Saturday,6,22/09/2018,47,11
Sunday,7,23/09/2018,41,10
Monday,1,24/09/2018,57,16
Tuesday,2,25/09/2018,53,15
Wednesday,3,26/09/2018,45,14
Thursday,4,27/09/2018,43,16
Friday,5,28/09/2018,54,21
Saturday,6,29/09/2018,42,9
Sunday,7,30/09/2018,33,12
Monday,1,01/10/2018,50,17
Tuesday,2,02/10/2018,45,17
Wednesday,3,03/10/2018,42,13
Thursday,4,04/10/2018,38,17
Friday,5,05/10/2018,55,21
Saturday,6,06/10/2018,44,11
Sunday,7,07/10/2018,42,9
Monday,1,08/10/2018,40,15
Tuesday,2,09/10/2018,49,18
Wednesday,3,10/10/2018,38,15
Thursday,4,11/10/2018,45,16
Friday,5,12/10/2018,47,17
Saturday,6,13/10/2018,47,15
Sunday,7,14/10/2018,57,20
Monday,1,15/10/2018,53,18
Tuesday,2,16/10/2018,45,20
Wednesday,3,17/10/2018,45,15
Thursday,4,18/10/2018,44,17
Friday,5,19/10/2018,41,16
Saturday,6,20/10/2018,40,15
Sunday,7,21/10/2018,47,16
Monday,1,22/10/2018,52,12
Tuesday,2,23/10/2018,44,9
Wednesday,3,24/10/2018,45,18
Thursday,4,25/10/2018,46,15
Friday,5,26/10/2018,49,19
Saturday,6,27/10/2018,43,14
Sunday,7,28/10/2018,34,11
Monday,1,29/10/2018,47,13
Tuesday,2,30/10/2018,36,18
Wednesday,3,31/10/2018,36,11
Thursday,4,01/11/2018,42,15
Friday,5,02/11/2018,50,14
Saturday,6,03/11/2018,43,14
Sunday,7,04/11/2018,64,27
Monday,1,05/11/2018,40,16
Tuesday,2,06/11/2018,43,13
Wednesday,3,07/11/2018,41,10
Thursday,4,08/11/2018,46,19
Friday,5,09/11/2018,50,23
Saturday,6,10/11/2018,56,25
Sunday,7,11/11/2018,44,17
Monday,1,12/11/2018,57,20
Tuesday,2,13/11/2018,45,13
Wednesday,3,14/11/2018,42,17
Thursday,4,15/11/2018,52,17
Friday,5,16/11/2018,52,14
Saturday,6,17/11/2018,45,13
Sunday,7,18/11/2018,47,12
Monday,1,19/11/2018,52,20
Tuesday,2,20/11/2018,44,15
Wednesday,3,21/11/2018,30,13
Thursday,4,22/11/2018,43,16
Friday,5,23/11/2018,44,15
Saturday,6,24/11/2018,42,16
Sunday,7,25/11/2018,44,10
Monday,1,26/11/2018,44,10
Tuesday,2,27/11/2018,50,25
Wednesday,3,28/11/2018,43,17
Thursday,4,29/11/2018,37,15
Friday,5,30/11/2018,38,15
Saturday,6,01/12/2018,56,17
Sunday,7,02/12/2018,52,20
Monday,1,03/12/2018,46,13
Tuesday,2,04/12/2018,36,17
Wednesday,3,05/12/2018,49,15
Thursday,4,06/12/2018,36,15
Friday,5,07/12/2018,49,14
Saturday,6,08/12/2018,39,7
Sunday,7,09/12/2018,46,15
Monday,1,10/12/2018,45,11
Tuesday,2,11/12/2018,44,16
Wednesday,3,12/12/2018,38,11
Thursday,4,13/12/2018,56,16
Friday,5,14/12/2018,43,13
Saturday,6,15/12/2018,36,11
Sunday,7,16/12/2018,39,17
Monday,1,17/12/2018,47,17
Tuesday,2,18/12/2018,42,17
Wednesday,3,19/12/2018,49,15
Thursday,4,20/12/2018,37,13
Friday,5,21/12/2018,54,22
Saturday,6,22/12/2018,46,17
Sunday,7,23/12/2018,52,21
Monday,1,24/12/2018,61,19
Tuesday,2,25/12/2018,30,7
Wednesday,3,26/12/2018,53,19
Thursday,4,27/12/2018,43,13
Friday,5,28/12/2018,47,14
Saturday,6,29/12/2018,58,24
Sunday,7,30/12/2018,41,18
Monday,1,31/12/2018,42,10
Tuesday,2,01/01/2019,51,17
Wednesday,3,02/01/2019,39,15
Thursday,4,03/01/2019,46,15
Friday,5,04/01/2019,52,20
Saturday,6,05/01/2019,52,23
Sunday,7,06/01/2019,45,15
Monday,1,07/01/2019,53,12
Tuesday,2,08/01/2019,32,11
Wednesday,3,09/01/2019,41,15
Thursday,4,10/01/2019,50,14
Friday,5,11/01/2019,44,14
Saturday,6,12/01/2019,46,13
Sunday,7,13/01/2019,41,11
Monday,1,14/01/2019,49,13
Tuesday,2,15/01/2019,48,17
Wednesday,3,16/01/2019,45,17
Thursday,4,17/01/2019,51,21
Friday,5,18/01/2019,47,23
Saturday,6,19/01/2019,63,19
Sunday,7,20/01/2019,45,19
Monday,1,21/01/2019,57,24
Tuesday,2,22/01/2019,42,17
Wednesday,3,23/01/2019,43,17
Thursday,4,24/01/2019,43,14
Friday,5,25/01/2019,35,11
Saturday,6,26/01/2019,48,14
Sunday,7,27/01/2019,34,11
Monday,1,28/01/2019,55,16
Tuesday,2,29/01/2019,53,9
Wednesday,3,30/01/2019,36,9
Thursday,4,31/01/2019,46,14
